dep_hash,dep_address,dep_amount,dep_time,triplets_count,linked_withdraws_count,truncated
0x4908fffae4529f1917d114919fc24683999a601bf47089ab8dba956feef0a722,0x97830f7e38fb5b55fc7891a6a68ffc8b3b628a1d,0.01532,2026-04-29 10:41:23.000000 UTC,16,15,0
0xf02194fd2e5b138203826f5b645a2e6d7d117de7e666b7a7d5cd228beae6c2a7,0x2fddc15a3dfba8e94a161ded1e96a65ea8797648,0.0342945,2026-04-23 02:27:59.000000 UTC,0,0,0
0x354f6a819ddedc80aaf517fdf771f0c7e4015cd1c887601201fd92a5c3204b8c,0xcafe879f8a164b508db934622dfa2fd3ca71fdd2,1.155,2026-04-20 22:22:59.000000 UTC,200,88,1
0x4722197356f98d322670c2589f8f31424f438c134e5e39e4e90386a3655b1eb8,0x09850fe2bf538a0b5ecfe70eae290286304f7fc5,0.0448562835064417,2026-04-20 08:51:11.000000 UTC,0,0,0
0x67087d805d4b5948e57d4ad7c79220f24d1d0596c45066ab881e4b9e8185ad74,0xdf7901c6cf836e0dc87547b51e541c5556a4738d,0.01484,2026-04-18 13:27:47.000000 UTC,49,22,0
0xca7dbfb31fb1300112e909d62179f5e3b1870344445844ef407864f137811b63,0x28cf37962ff401452672f265ec10b820ad435f05,3.838,2026-04-18 03:29:35.000000 UTC,41,63,0
0xeeb1fa47a0625c95a4f564c64b89e647f0a1b4f1e6ada14876d9a36f4a2dcfc8,0x214f00044188d3c6f9a501aa7b4fc7f2c3c6782b,0.015,2026-04-17 18:34:59.000000 UTC,200,47,1
0xabe2dced6bd75324b3b149ac311decfd72a6e369451c9efafb2bea4dce96afea,0x2e3bd4e33281ec73b88233ab5f8b0e52a8d6f913,0.4673,2026-04-17 13:47:11.000000 UTC,66,55,0
0x7cb8dd680c7888412284c4fb5f2591059294dcc526b166295fccfa1a78146c1a,0xa5e6b86b278ae2511518e0837047ae9595777434,0.08564,2026-04-17 13:44:11.000000 UTC,0,0,0
0xc82065e468b68eef2c731a9eeaad535ef91ed63411ef6db273f3c611cc8e6319,0x603b06f16e2f027170f73ae09ba73881ece8ea9f,0.031961,2026-04-16 20:30:47.000000 UTC,0,0,0
